feature|target
*triệu chứng tiền lâm sàng:những dấu hiệu này lan rộng dọc theo hệ thần kinh và hệ bạch huyết. đồng thời với các triệu chứng trên còn có một số triệu chứng khác kèm theo: bồn chồn, thổn thức, la hét, chán nản vô cớ.*triệu chứng lâm sàng:1. thể co thắt:đây là thể thường gặp nhất. đặc điểm là co cứng, co thắt, co giật, run các cơ kể cả cơ ở mặt. co thắt hô hấp và co thắt thanh quản là biểu hiện tổn thương hành tủy. triệu chứng đặc trưng của bệnh là nhân lên cơn dại:  sợ nước: bệnh nhân thường rất khát nhưng khi uống nước họ bị co thắt lồng ngực, bị ức chế thở và run cầm cập. trạng thái này qua mau nhưng để lại ấn tượng kéo dài cho bệnh nhân, vì vậy họ không thiết uống nước mặc dù rất khát. từ đó dẫn đến chỉ cần nhìn thấy 1 ly nước hoặc nghe tiếng nước chảy cũng sợ.  sợ gió, sợ ánh sáng được mô tả tương tự. tính cách bệnh nhân không bình thường, bệnh nhân bị phấn khích quá độ khi bị kích thích. không phát hiện dấu hiệu mất tri thức.những cơn co thắt đầu tiên còn xa nhau, càng ngày càng mau và thường tử vong sau 3   4 ngày do ngất hoặc ngạt trong một cơn co thắt sợ nước hoặc sau một cơn hôn mê.2. thể liệt:thể này hiếm gặp và kém điển hình hơn.không có dấu hiệu phấn khích quá độ. bệnh xuất hiện rất nhanh sau giai đoạn co thắt, run. liệt có thể tiên phát và bắt đầu bằng liệt 1 chi hoặc 2 chi dưới rồi lan lên trên (hội chứng landry) hoặc xuống dưới. tử vong thường do ngạt hoặc ngất vào ngày thứ 4. diễn biến bệnh không quá 4   10 ngày.3. thể cuồng:bệnh nhân bị kích thích quá độ, có những phản ứng dữ tợn, người bệnh trở lên hung bạo. vì vậy, bệnh nhân thường có những hành vi không bình thường như chống lại y lệnh của bác sĩ và những người quanh mình. thể trạng suy sụp nhanh, hôn mê, ngất và chết.|bệnh dại
cường cận giáp thường được chẩn đoán trước khi các dấu hiệu hoặc triệu chứng của rối loạn này rõ ràng. khi triệu chứng xảy ra, chúng là kết quả của tổn thương hoặc rối loạn chức năng trong các cơ quan khác hoặc các mô do nồng độ canxi trong máu cao hoặc quá ít trong xương.các triệu chứng có thể rất nhẹ và không đặc hiệu hoặc có thể nghiêm trọng. các dấu hiệu và triệu chứng bao gồm:  xương dễ vỡ, dễ gãy xương (loãng xương).  sỏi thận.  đi tiểu quá nhiều.  đau bụng.  dễ mệt mỏi.  trầm cảm, hay quên.  đau xương khớp.  buồn nôn, nôn hoặc chán ăn.bạn hãy đi khám nếu có bất kỳ dấu hiệu hoặc triệu chứng nào của cường cận giáp. những triệu chứng này có thể gây ra bởi bất kỳ rối loạn nào, kể cả với một số biến chứng nghiêm trọng. điều quan trọng là cần được chẩn đoán nhanh, chính xác và điều trị thích hợp.|cường cận giáp
1. pemphigus thông thườnglà thể lâm sàng hay gặp nhất, chiếm khoảng 60 70% tổng số các hình thái pemphigus. bệnh hay gặp ở người 40 50 tuổi. tỷ lệ nam và nữ là tương đương.+ giai đoạn khởi phát:  bệnh khởi phát không có triệu chứng tiền triệu. khoảng 50 70% trường hợp khởi đầu ở niêm mạc miệng.  những vùng niêm mạc khác có thể bị tổn thương là kết mạc, thực quản.  đôi khi bệnh khởi phát bằng những tổn thương rỉ nước, đóng vảy tiết ở da đầu, rốn, vùng nách.+ giai đoạn toàn phát:  bọng nước xuất hiện đột ngột ở một vài nơi hoặc toàn thân.  bọng nước kích thước lớn, mềm, nhăn nheo, nằm rời rạc trên nền da bình thường không viêm, rất dễ vỡ, để lại những vết trợt da.  tổn thương rải rác khắp trên cơ thể, tập trung hơn ở vùng tỳ đè, nách, vùng chậu.  ngứa, thường bệnh nhân có cảm giác đau rát.  dấu hiệu nikolsky (+).  toàn trạng sớm bị ảnh hưởng, sau có thể sốt dai dẳng, sốt cao hoặc vừa, kéo dài nhất là khi phối hợp với nhiễm khuẩn.thể trạng suy sụp dần do những cơn phát bệnh liên tục. có thể thấy các rối loạn khác như tiêu hóa (nôn mửa, tiêu chảy); rối loạn tâm thần hay rối loạn tiết niệu (phù, đái ít, albumin niệu).+ tiến triển và tiên lượng:  bệnh diễn tiến mạn tính xen kẽ nhưng cơn bộc phát liên tục.  trước khi có corticoid, tỷ lệ tử vong khoảng 75%. sau khi có thuốc corticoid và thuốc ức chế miễn dịch, diễn tiến bệnh có tốt hơn, tổn thương da lành nhanh.ảnh minh họa2. bệnh pemphigus sùi  là một thể lâm sàng khu trú của pemphigus thể thông thường. pemphigus sùi tương đối hiếm gặp so với pemphigus thông thường.  vị trí chọn lọc thường ở niêm mạc và các nếp lớn như nách, bẹn, mông, nếp dưới vú.  lâm sàng: bọng nước vỡ nhanh để lại những mảng trợt da, sau đó sùi lên hình thành những mảng u nhú có mủ, đóng vảy tiết, bốc mùi hôi thối đặc biệt.  tiến triển và tiên lượng: tương tự pemphigus thể thông thường.3. bệnh pemphigus vảy lá+ lâm sàng: gồm hai giai đoạn  giai đoạn bọng nước: khởi đầu bọng nước nhỏ, mềm nhăn nheo, nhanh chóng dập vỡ. vị trí ở mặt, lưng, ngực. tổn thương có thể xuất hiện trên da lành hay mảng đỏ da. niêm mạc không bị tổn thương. đây là tiêu chuẩn lâm sàng quan trọng để chẩn đoán phân biệt với pemphigus thể thông thường và pemphigus vảy lá.  giai đoạn đỏ da: bọng nước biến mất nhanh, để lại những mảng ban đỏ tróc vảy, rỉ dịch nhiều, chiếm toàn bộ cơ thể hình thành bệnh cảnh đỏ da toàn thân.4. bệnh pemphigus thể đỏ da hay da mỡ (hội chứng senear – ushear)đây là một thể khu trú của pemphigus foliaceus.+ lâm sàng:  thương tổn cơ bản là bọng nước. bọng nước nhanh chóng dập vỡ để lại những mảng hồng ban đóng vảy tiết. vảy tròn, dày, màu vàng khu trú ở các vùng tiết bã: mặt, vùng xương trước ức, rãnh lưng, thắt lưng. có thể thấy các tổn thương hồng ban, vảy hình cánh bướm đối xứng ở mặt, có khuynh hướng teo da (giống lupus ban đỏ mạn tính) hoặc viêm da đầu hình cánh bướm.  niêm mạc không bị tổn thương.  toàn trạng bệnh nhân tương đối tốt.|da bọng nước tự miễn pemphigus
khoảng 1% bà bầu có khả năng bị  thừa nước ối. khi ấy, thai phụ xuất hiện những dấu hiệu:  buồn nôn, nôn, ăn uống kém. mạch nhanh, huyết áp bình thường.   bụng to nhanh làm cho người bệnh đau tức đột ngột, tức ngực, khó thở. nhìn da bụng thấy căng bóng, có các nếp rạn da.   phù chân hoặc toàn thân do tử cung to chèn ép vào tĩnh mạch.  nghe tim thai không rõ bằng ống nghe gỗ.  siêu âm: thấy rõ hình ảnh đa ối.  xét nghiệm máu và nước tiểu: có tác dụng tron việc tìm nguyên nhân gây đa ối.|đa ối
1. triệu chứng cơ năng và toàn thântrong trường hợp điển hình, áp xe thận do cầu khuẩn gây nên thường xuất hiện đột ngột. bệnh nhân có hội chứng nhiễm khuẩn rõ rệt: sốt cao, rét run, mạch nhanh. kèm theo bệnh nhân thấy đau nhiều ở hố thắt lưng, như một bệnh cảnh của viêm thận   thể thận cấp. ở giai đoạn đầu bệnh nhân không đái ra mủ và nước tiểu hoàn toàn bình thường, vì ổ mủ không thông với đường niệu.ngược lại, nhiều trường hợp áp xe thận có bệnh cảnh diễn ra từ từ hơn.bệnh nhân có những đợt sốt nhiễm khuẩn, tình trạng sức khỏe suy sụp dần, và đau vùng thắt lưng như trường hợp viêm thận   bể thận mạn, và có khi có sỏi thận kèm theo.2. triệu chứng thực thểtrường hợp cấp tính, khi khám thực thể ta thấy vùng thắt lưng đau, hoặc phù nề đỏ ở vùng hố thắt lưng (vùng sườn lưng), có khi ta sờ thấy một khối u đau căng và có phản ứng khi thăm khám.ở những bệnh nhân diễn biến bệnh từ từ hơn, khi thăm khám vùng thắt lưng, bệnh nhân không phản ứng dữ dội, nhưng ta có thể thấy thận to, căng đau, hoặc thấy được ổ áp xe, khi chọc dò có thể lấy được mủ.|áp-xe thận
bị căng thẳng tâm lý. khi ngủ hay ngáy to, vì bị sùi vòm họng hay còn gọi là v.a, hay có cục thịt thừa trong cổ họng. đi tiểu thường xuyên, bị buốt đường tiểu (nhiễm trùng đường tiểu).  đi tiểu són. con gái thường ngồi đè lên chân hay chân ngồi bắt chéo để chặn đường tiểu. còn con trai thì lấy tay bụm lại.  đi tiểu nhiều, giảm cân (bị bệnh đái tháo đường hay bệnh thận).  đường tiểu yếu, cả đêm hay ngày đều hay tiểu són (bị nghẹt đường tiểu).|đái dầm
1.triệu chứng vô sinh ở nữtiết dịch ở ngực: nếu phụ nữ không ở trong thời kỳ cho con bú mà ngực tự bài tiết hoặc sau khi nắn ép có dịch sữa chảy ra, trong nhiều trường hợp có khả năng chức năng não không kiện toàn, chất sữa tiết ra lưu lại hoặc trong trường hợp chức năng tuyến giáp thấp, chức năng thận suy thoái mãn tính…. đương nhiên, tình trạng này cũng có thể do uống thuốc tránh thai và thuốc giảm huyết áp gây ra, dịch sữa thường tan chảy và tắc gây ra vô sinh.xuất hiện kinh nguyệt khác thường: rất nhiều phụ nữ đến thời kỳ kinh nguyệt thì lại xuất hiện sự thay đổi, ví dụ như kinh nguyệt đến sớm hoặc muộn, kinh nguyệt quá nhiều hoặc quá ít, kinh nguyệt kéo dài; ngoài ra còn có tắc kinh, đau bụng kinh, âm đạo xuất huyết không theo quy luật…viêm âm đạo: do một số bệnh về viêm âm đạo làm cho âm đạo có các chất thải, bài tiết ra chất quá nhiều và chèn ép làm cho đau bụng.trước và sau giai đoạn kinh nguyệt có triệu chứng: không ít phụ nữ trước và sau khi kinh nguyệt xuất hiện sưng ngực, cương ngực, đi ngoài, đau đầu, mặt trắng nhợt, sốt, phát ban, phù nề, mụn trứng cá trên mặt, trầm cảm hoặc dễ cáu kỉnh và một loạt các triệu chứng khác. thường do rối loạn nội tiết làm cho chức năng hoàng thể không kiện toàn gây ra, cũng thường dẫn đến vô sinh.chỉ số bmi không chuẩn: rất nhiều phụ nữ vì giữ cho cơ thể đúng form, ăn kiêng làm cho dinh dưỡng không đủ hoặc chỉ số khối cơ thể (bmi) quá lệch chuẩn.2. triệu chứng vô sinh ở namtĩnh mạch tinh suy giãn: nếu men theo tinh hoàn sờ nhẹ từ trên xuống dưới, phát hiện ở trong bìu có từng cục như con sâu cụm mềm và quanh co, lúc này nam giới phải lưu ý ngay, đây có thể là suy giãn tĩnh mạch tinh. điều này sẽ làm cho nhiệt độ của tinh hoàn tăng lên, huyết tĩnh mạch ứ đọng ảnh hưởng đến quá trình chuyển hóa của tinh hoàn, từ đó can nhiễu đến việc sản sinh ra tinh binh, dẫn đến giảm chất lượng tinh dịch.xoắn tinh hoàn hoặc viêm tinh hoàn: nếu tinh hoàn bị sưng, đau, sau khi thuyên giảm, tinh hoàn dần dần nhỏ đi, đây có thể là tinh hoàn bị thu co do chịu tổn thương sau khi bị xoắn tinh hoàn hoặc viêm tinh hoàn. điều này thường đi kèm với các tế bào sinh tinh bị tổn thương không thể thay đổi được.nếu tinh hoàn không thể xuống bìu mà lưu lại ở trong khoang bụng thì bị gọi là chứng tinh hoàn ẩn. nhiệt độ quá cao ở trong ổ bụng không có lợi cho sản xuất tinh trùng, nguy cơ tinh hoàn bị ác tính cũng từ đó mà tăng lên đáng kể.quan sát tinh dịch  tinh dịch bình thường có màu trắng đục hoặc hơi vàng. nếu tinh dịch xuất hiện màu hồng, đỏ thì là tinh dịch có máu.  lượng tinh dịch bình thường là 2 6ml, hơn 7ml là quá nhiều, không chỉ làm cho mật độ tinh trùng giảm thấp mà còn dễ 'trôi' ra ngoài, làm cho tổng số lượng tinh trùng thấp đi khi tiếp cận trứng.  nếu tổng số tinh dịch ít hơn 2ml thì được xem là tinh dịch ít. tinh dịch dưới 1ml thì được xem là quá ít, rất dễ dẫn đến vô sinh.  thông thường sau khi xuất tinh, khoảng 15   30 phút sau sẽ biến thành chất lỏng, nếu vượt quá 30 phút vẫn không thay đổi hình dạng, trên lâm sàng gọi là tinh dịch không dịch hóa, cũng là nguyên nhân dẫn đến vô sinh.|vô sinh
các triệu chứng chính của đái tháo nhạt là khát và đái nhiều, với thể tích nước tiểu hàng ngày điển hình vượt quá 3 lít.các triệu chứng của tăng natri máu (ví dụ: yếu cơ, thay đổi tình trạng ý thức, hôn mê hoặc co giật) có thể xảy ra khi tình trạng mất nước nhanh và đáng kể.khám thực thể bệnh nhân thường bình thường trừ khi xảy ra tình trạng mất nước đáng kể.|đái tháo nhạt
các dấu hiệu và triệu chứng đau dạ dày không viêm loét có thể bao gồm:  cảm giác nóng rát hoặc khó chịu ở bụng trên hoặc ngực dưới, đôi khi thuyên giảm do thức ăn hoặc thuốc kháng axit.  đầy hơi.  ợ hơi.  buồn nôn.|đau dạ dày không do viêm loét
khi bạn đau gối bác sĩ có thể khám thấy hiện tượng:  sưng và cứng khớp.  bị sốt, đau, tấy đỏ và sưng ở đầu gối.  tiếng lạo xạo khớp gối.  cứng, hoặc không có khả năng duỗi thẳng đầu gối.|đau đầu gối
